timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659511451486,4149,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,4149,0,0
1659511452251,3963,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3963,0,0
1659511452545,3682,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3682,0,0
1659511450943,5533,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5533,0,0
1659511453267,3611,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3610,0,0
1659511440831,16200,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-33,text,true,,18989,121,50,50,https://swapi.dev/api/films/,16200,0,102
1659511442658,15078,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-34,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14959,0,108
1659511441656,16317,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-37,text,true,,18989,121,50,50,https://swapi.dev/api/films/,16251,0,103
1659511443318,14667,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-38,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14646,0,107
1659511440988,16998,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-35,text,true,,18989,121,50,50,https://swapi.dev/api/films/,16939,0,105
1659511454932,3151,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-11,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3151,0,0
1659511443412,14708,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-32,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14652,0,110
1659511442116,16181,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-36,text,true,,18989,121,50,50,https://swapi.dev/api/films/,16107,0,108
1659511443141,15174,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-39,text,true,,18989,121,50,50,https://swapi.dev/api/films/,15110,0,108
1659511442196,16362,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-40,text,true,,18989,121,50,50,https://swapi.dev/api/films/,16313,0,100
1659511443815,15173,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,18989,121,50,50,https://swapi.dev/api/films/,15173,0,107
1659511442792,16813,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-31,text,true,,18989,121,50,50,https://swapi.dev/api/films/,16789,0,108
1659511456476,3552,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3552,0,0
1659511446772,14445,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14400,0,108
1659511446501,14798,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14768,0,117
1659511447631,13919,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,18989,121,50,50,https://swapi.dev/api/films/,13865,0,101
1659511457032,5269,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-33,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5269,0,0
1659511457737,4950,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-34,text,true,,5962,122,50,50,https://swapi.dev/api/people/,4950,0,0
1659511447820,15032,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14997,0,101
1659511457973,4946,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-37,text,true,,5962,122,50,50,https://swapi.dev/api/people/,4946,0,0
1659511448262,14725,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14609,0,108
